Entity,Definition
Straightline,Not found on Wikipedia
Boojho,Not found on Wikipedia
Question,A question is an utterance which serves as a request for information.
Fish Fig,Not found on Wikipedia
Aristotle,"Aristotle (; Greek: Ἀριστοτέλης Aristotélēs, pronounced [aristotélɛːs]; 384–322 BC) was an Ancient Greek philosopher and polymath."
Body part,A body part is a part of an animal body.
Yoga,"Yoga ( (listen); Sanskrit: योग, lit. 'yoke' or 'union' pronounced [joːɡɐ]) is a group of physical, mental, and spiritual practices or disciplines which originated in ancient India and aim to control (yoke) and still the mind, recognizing a detached witness-consciousness untouched by the mind (Chitta) and mundane suffering (Duḥkha)."
June 21,June 21 is the 172nd day of the year (173rd in leap years) in the Gregorian calendar;  193 days remain until the end of the year.
Slouch,Not found on Wikipedia
Yoga,"Yoga ( (listen); Sanskrit: योग, lit. 'yoke' or 'union' pronounced [joːɡɐ]) is a group of physical, mental, and spiritual practices or disciplines which originated in ancient India and aim to control (yoke) and still the mind, recognizing a detached witness-consciousness untouched by the mind (Chitta) and mundane suffering (Duḥkha)."
Shape,"A shape or figure is a graphical representation of an object or its external boundary, outline, or external surface, as opposed to other properties such as color, texture, or material type."
Joint,"A joint or articulation (or articular surface) is the connection made between bones, ossicles, or other hard structures in the body which link an animal's skeletal system into a functional whole."
Wing,A wing is a type of fin that produces lift while moving through air or some other fluid.
Skeleton,A skeleton is the structural frame that supports the body of most animals.
Bristle,"A bristle is a stiff hair or feather (natural or artificial), either on an animal, such as a pig, a plant, or on a tool such as a brush or broom."
Foot,The foot (PL: feet) is an anatomical structure found in many vertebrates.
Locomotion,Locomotion means the act or ability of something to transport or move itself from place to place.
Joint,"A joint or articulation (or articular surface) is the connection made between bones, ossicles, or other hard structures in the body which link an animal's skeletal system into a functional whole."
Skeleton,A skeleton is the structural frame that supports the body of most animals.
Column II,Not found on Wikipedia
Glossary of socket joint,Not found on Wikipedia
type of sport,Not found on Wikipedia
Motion,"In physics, motion is the phenomenon in which an object changes its position with respect to time."
Arm,"In human anatomy, the arm refers to the upper limb in common usage, although academically the term specifically means the upper arm between the glenohumeral joint (shoulder joint) and the elbow joint."
Ganges,The Ganges ( GAN-jeez) (in India: Ganga ( GUNG-ə); in Bangladesh: Padma ( PUD-mə)) is a trans-boundary river of Asia which flows through Bangladesh and India.
Mountain range,A mountain range or hill range is a series of mountains or hills arranged in a line and connected by high ground.
Oak,"An oak is a tree or shrub in the genus Quercus (; Latin ""oak tree"") of the beech family, Fagaceae."
Beach,A beach is a landform alongside a body of water which consists of loose particles.
Summer,"Summer is the hottest of the four temperate seasons, occurring after spring and before autumn."
Life,"Life is a quality that distinguishes matter that has biological processes, such as signaling and self-sustaining processes, from matter that does not, and is defined by the capacity for growth, reaction to stimuli, metabolism, energy transformation, and reproduction."
Fishing,Fishing is the activity of trying to catch fish.
Y ou,Not found on Wikipedia
Library,"A library is a collection of materials, books or media that are accessible for use and not just for display purposes."
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Soil,"Soil, also commonly referred to as earth or dirt, is a mixture of organic matter, minerals, gases, liquids, and organisms that together support life."
Ocean,The ocean (also the sea or the world ocean) is the body of salt water that covers approximately 70.8% of the Earth and contains 97% of Earth's water.
The Hobbit,"The Hobbit, or There and Back Again is a children's fantasy novel by English author J. R. R. Tolkien."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Daytime,Daytime as observed on Earth is the period of the day during which a given location experiences natural illumination from direct sunlight.
Air,Not found on Wikipedia
Desert,"A desert is a barren area of landscape where little precipitation occurs and, consequently, living conditions are hostile for plant and animal life."
Leg,"A leg is a weight-bearing and locomotive anatomical structure, usually having a columnar shape."
Urine,Urine is a liquid by-product of metabolism in humans and in many other animals.
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Fish,"Fish are aquatic, craniate, gill-bearing animals that lack limbs with digits."
Fish anatomy,Fish anatomy is the study of the form or morphology of fish.
Water movement,Not found on Wikipedia
Fish fin,Fins are distinctive anatomical features composed of bony spines or rays protruding from the body of a fish.
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Fish,"Fish are aquatic, craniate, gill-bearing animals that lack limbs with digits."
Fish,"Fish are aquatic, craniate, gill-bearing animals that lack limbs with digits."
Animal,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia."
Organism,"In biology, an organism (from Ancient Greek  ὄργανον (órganon) 'instrument, implement, tool', and  -ισμός (-ismós)) is any living system that functions as an individual entity."
Adaptation,"In biology, adaptation has three related meanings."
Camel,"A camel (from: Latin: camelus and Greek: κάμηλος (kamēlos) from Hebrew or Phoenician: גָמָל gāmāl.) is an even-toed ungulate in the genus Camelus that bears distinctive fatty deposits known as ""humps"" on its back."
Organism,"In biology, an organism (from Ancient Greek  ὄργανον (órganon) 'instrument, implement, tool', and  -ισμός (-ismós)) is any living system that functions as an individual entity."
Dwelling place,Not found on Wikipedia
Habitat,"In ecology, the term habitat summarises the array of resources, physical and biotic factors that are present in an area, such as to support the survival and reproduction of a particular species."
Habitat,"In ecology, the term habitat summarises the array of resources, physical and biotic factors that are present in an area, such as to support the survival and reproduction of a particular species."
Camel,"A camel (from: Latin: camelus and Greek: κάμηλος (kamēlos) from Hebrew or Phoenician: גָמָל gāmāl.) is an even-toed ungulate in the genus Camelus that bears distinctive fatty deposits known as ""humps"" on its back."
Animal,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia."
Aquatic habitat,Not found on Wikipedia
Rock (geology),"In geology, rock (or stone) is any naturally occurring solid mass or aggregate of minerals or mineraloid matter."
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Chana (vegetable),Not found on Wikipedia
Germination,Germination is the process by which an organism grows from a seed or spore.
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Moong seed,Not found on Wikipedia
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Sunny room,Not found on Wikipedia
Water replacement,Not found on Wikipedia
Germination,Germination is the process by which an organism grows from a seed or spore.
Plain,"In geography, a plain, commonly known as flatland, is a flat expanse of land  that generally does not change much in elevation, and is primarily treeless."
Highland,"Highlands or uplands are areas of high elevation such as a mountainous region, elevated mountainous plateau or high hills."
Organism,"In biology, an organism (from Ancient Greek  ὄργανον (órganon) 'instrument, implement, tool', and  -ισμός (-ismós)) is any living system that functions as an individual entity."
HABITATS,Not found on Wikipedia
Survival,"Survival, or the act of surviving, is the propensity of something to continue existing, particularly when this is done despite conditions that might kill or destroy it."
Organism,"In biology, an organism (from Ancient Greek  ὄργανον (órganon) 'instrument, implement, tool', and  -ισμός (-ismós)) is any living system that functions as an individual entity."
Habitat,"In ecology, the term habitat summarises the array of resources, physical and biotic factors that are present in an area, such as to support the survival and reproduction of a particular species."
Landscape,"A landscape is the visible features of an area of land, its landforms, and how they integrate with natural or man-made features, often considered in terms of their aesthetic appeal."
Animal,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia."
Sand,Sand is a granular material composed of finely divided mineral particles.
Leaf plant,Not found on Wikipedia
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Cactus,A cactus (pl.
Photosynthesis,"Photosynthesis is a process used by plants and other organisms to convert light energy into chemical energy that, through cellular respiration, can later be released to fuel the organism's activities."
Desert,"A desert is a barren area of landscape where little precipitation occurs and, consequently, living conditions are hostile for plant and animal life."
Habitat,"In ecology, the term habitat summarises the array of resources, physical and biotic factors that are present in an area, such as to support the survival and reproduction of a particular species."
Snow,"Snow comprises individual ice crystals that grow while suspended in the atmosphere—usually within clouds—and then fall, accumulating on the ground where they undergo further changes."
Mountain,"A mountain is an elevated portion of the Earth's crust, generally with steep sides that show significant exposed bedrock."
Survival,"Survival, or the act of surviving, is the propensity of something to continue existing, particularly when this is done despite conditions that might kill or destroy it."
Adaptation,"In biology, adaptation has three related meanings."
Skin,"Skin is the layer of usually soft, flexible outer tissue covering the body of a vertebrate animal, with three main functions: protection, regulation, and sensation.Other animal coverings, such as the arthropod exoskeleton, have different developmental origin, structure and chemical composition."
Hair,Hair is a protein filament that grows from follicles found in the dermis.
Habitat,"In ecology, the term habitat summarises the array of resources, physical and biotic factors that are present in an area, such as to support the survival and reproduction of a particular species."
Snow leopard,"The snow leopard (Panthera uncia), also known as the ounce, is a felid in the genus Panthera native to the mountain ranges of Central and South Asia."
Branch,"A branch, sometimes called a ramus in botany, is a woody structural member connected to the central trunk of a tree (or sometimes a shrub)."
Rain,Rain is water droplets that have condensed from atmospheric water vapor and then fall under gravity.
HARACTERISM,Not found on Wikipedia
Walking,Walking (also known as ambulation) is one of the main gaits of terrestrial locomotion among legged animals.
Goat,The goat or domestic goat (Capra hircus) is a domesticated species of goat-antelope typically kept as livestock.
Lion,The lion (Panthera leo) is a large cat of the genus Panthera native to Africa and India.
Leg,"A leg is a weight-bearing and locomotive anatomical structure, usually having a columnar shape."
Hide and seek,Not found on Wikipedia
Visual perception,"Visual perception is the ability to interpret the surrounding environment through photopic vision (daytime vision), color vision, scotopic vision (night vision), and mesopic vision (twilight vision), using light in the visible spectrum reflected by objects in the environment."
Grassland,A grassland is an area where the vegetation is dominated by grasses (Poaceae).
Chewing,Chewing or mastication is the process by which food is crushed and ground by teeth.
Animal,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia."
Hearing,"Hearing, or auditory perception, is the ability to perceive sounds through an organ, such as an ear, by detecting vibrations as periodic changes in the pressure of a surrounding medium."
Head,"A head is the part of an organism which usually includes the ears, brain, forehead, cheeks, chin, eyes, nose, and mouth, each of which aid in various sensory functions such as sight, hearing, smell, and taste."
Flight,"Flight or flying is the process by which an object moves through a space without contacting any planetary surface, either within an atmosphere (i.e."
Sea,"Sea refers to a large body of salty water, specifically of seawater."
Sea,"Sea refers to a large body of salty water, specifically of seawater."
Sea animal,Not found on Wikipedia
Ocean,The ocean (also the sea or the world ocean) is the body of salt water that covers approximately 70.8% of the Earth and contains 97% of Earth's water.
Animal,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia."
Sea animal,Not found on Wikipedia
Breathing,"Breathing (or ventilation) is the process of moving air into and from the lungs to facilitate gas exchange with the internal environment, mostly to flush out carbon dioxide and bring in oxygen."
Lake,"A lake is a naturally occurring, relatively large body of water localized in a basin completely surrounded by dry land, with much slower-moving flow than any inflow or outflow streams that serve to feed or drain it."
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Leaf,"A leaf is a principal appendage of the stem of a vascular plant, usually borne laterally aboveground and specialized for photosynthesis."
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Pond,"A pond is a small, still, land-based body of water formed by pooling inside a depression, either naturally or artificially."
Back,Not found on Wikipedia
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Aquatic plant,Aquatic plants are plants that have adapted to living in aquatic environments (saltwater or freshwater).
Living,Living or The Living may refer to:
Table (furniture),"A table is an item of furniture with a raised flat top and is supported most commonly by 1 or 4 legs (although some can have more), used as a surface for working at, eating from or on which to place things."
Edward Lear,"Edward Lear (12 May 1812 – 29 January 1888) was an English artist, illustrator, musician, author and poet, who is known mostly for his literary nonsense in poetry and prose and especially his limericks, a form he popularised.His principal areas of work as an artist were threefold: as a draughtsman employed to make illustrations of birds and animals; making coloured drawings during his journeys, which he reworked later, sometimes as plates for his travel books; and as a (minor) illustrator of Alfred, Lord Tennyson's poems."
Coin,"A coin is a small object, usually round and flat, used primarily as a medium of exchange or legal tender."
New Delhi,"New Delhi ( (listen), Hindi: [ˈnəiː ˈdɪlːiː], Naī Dillī) is the capital of India and a part of the National Capital Territory of Delhi (NCT)."
Car,A car or automobile is a motor vehicle with wheels.
Animal size,Not found on Wikipedia
Organism,"In biology, an organism (from Ancient Greek  ὄργανον (órganon) 'instrument, implement, tool', and  -ισμός (-ismós)) is any living system that functions as an individual entity."
Chair,"A chair is a type of seat, typically designed for one person and consisting of one or more legs, a flat or slightly angled seat and a back-rest."
Cock,Cock or cocks most commonly refers to:
Plant growth,Not found on Wikipedia
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Bird,"Birds are a group of warm-blooded vertebrates constituting the class Aves (), characterised by feathers, toothless beaked jaws, the laying of hard-shelled eggs, a high metabolic rate, a four-chambered heart, and a strong yet lightweight skeleton."
Growth,Growth may refer to:
Australasia,"Australasia (Māori: Atareira) is a region that comprises Australia, New Zealand and some neighbouring islands in the Pacific Ocean."
Life,"Life is a quality that distinguishes matter that has biological processes, such as signaling and self-sustaining processes, from matter that does not, and is defined by the capacity for growth, reaction to stimuli, metabolism, energy transformation, and reproduction."
Respiration,Respiration may refer to:
Air,Not found on Wikipedia
Carbon,Carbon (from Latin  carbo 'coal') is a chemical element with the symbol C and atomic number 6.
Breathing,"Breathing (or ventilation) is the process of moving air into and from the lungs to facilitate gas exchange with the internal environment, mostly to flush out carbon dioxide and bring in oxygen."
Animal,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia."
Organism,"In biology, an organism (from Ancient Greek  ὄργανον (órganon) 'instrument, implement, tool', and  -ισμός (-ismós)) is any living system that functions as an individual entity."
Food,Food is any substance consumed by an organism for nutritional support.
Food,Food is any substance consumed by an organism for nutritional support.
Energy,"In physics, energy (from Ancient Greek  ἐνέργεια (enérgeia) 'activity') is the quantitative property that is transferred to a body or to a physical system, recognizable in the performance of work and in the form of heat and light."
Islam,"Islam (; Arabic: ۘالِإسلَام, al-ʾIslām [ɪsˈlaːm] (listen), transl. ""Submission [to God]"") is an Abrahamic monotheistic religion centered around the Quran and the teachings of Muhammad."
Growth,Growth may refer to:
Animal,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia."
Child,"A child (plural: children) is a human being between the stages of birth and puberty, or between the developmental period of infancy and puberty."
Organism,"In biology, an organism (from Ancient Greek  ὄργανον (órganon) 'instrument, implement, tool', and  -ισμός (-ismós)) is any living system that functions as an individual entity."
Biological process,"Biological processes are those processes that are vital for an organism to live, and that shape its capacities for interacting with its environment."
Skin,"Skin is the layer of usually soft, flexible outer tissue covering the body of a vertebrate animal, with three main functions: protection, regulation, and sensation.Other animal coverings, such as the arthropod exoskeleton, have different developmental origin, structure and chemical composition."
Oxygen,Oxygen is the chemical element with the symbol O and atomic number 8.
Oxygen,Oxygen is the chemical element with the symbol O and atomic number 8.
Respiration,Respiration may refer to:
Day,A day is the time period of a full rotation of the Earth with respect to the Sun.
Sharp object,Not found on Wikipedia
Eye,Eyes are organs of the visual system.
Food,Food is any substance consumed by an organism for nutritional support.
Middle East,"The Middle East (Arabic: الشرق الأوسط, ISO 233: ash-Sharq al-Awsat) is a geopolitical region commonly encompassing Arabia (including the Arabian Peninsula and Bahrain), Asia Minor (Asian part of Turkey except Hatay Province), East Thrace (European part of Turkey), Egypt, Iran, the Levant (including Ash-Shām and Cyprus), Mesopotamia (modern-day Iraq), and the Socotra Archipelago (a part of Yemen)."
Attention,Attention in psychology is the concentration of awareness on some phenomenon to the exclusion of other stimuli.
Food,Food is any substance consumed by an organism for nutritional support.
Wild animal,Not found on Wikipedia
Night,"Night (also described as nighttime, unconventionally spelled as ""nite"") is the period of ambient darkness from sunset to sunrise during each 24-hour day, when the Sun is below the horizon."
Leaf,"A leaf is a principal appendage of the stem of a vascular plant, usually borne laterally aboveground and specialized for photosynthesis."
Plant science,Not found on Wikipedia
Room,"In a building or large vehicle, like a ship, a room is any enclosed space within a number of walls to which entry is possible only via a door or other dividing structure that connects it to either a passageway, another room, or the outdoors, that is large enough for several people to move about, and whose size, fixtures, furnishings, and sometimes placement within the building or ship support the activity to be conducted in it."
Plant stem,"A stem is one of two main structural axes of a vascular plant, the other being the root."
Stimulus (physiology),"In physiology, a stimulus is a detectable change in the physical or chemical structure of an organism's internal or external environment."
Food,Food is any substance consumed by an organism for nutritional support.
Food,Food is any substance consumed by an organism for nutritional support.
Waste,Waste (or wastes) are unwanted or unusable materials.
Waste,Waste (or wastes) are unwanted or unusable materials.
Excretion,Excretion is a process in which metabolic waste 
Plant hormone,"Plant hormone (or phytohormones) are signal molecules, produced within plants, that occur in extremely low concentrations."
Waste,Waste (or wastes) are unwanted or unusable materials.
Organism,"In biology, an organism (from Ancient Greek  ὄργανον (órganon) 'instrument, implement, tool', and  -ισμός (-ismós)) is any living system that functions as an individual entity."
Animal reproduction,Not found on Wikipedia
Animal,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia."
Animal,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia."
Animal,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia."
Seed,"In botany, seed is an undeveloped plant embryo and food reserve enclosed in a protective outer covering."
Egg,"An egg is an organic vessel grown by an animal to carry a possibly fertilized egg cell (a zygote) and to incubate from it an embryo within the egg until the embryo has become an animal fetus that can survive on its own, at which point the animal hatches."
Bird,"Birds are a group of warm-blooded vertebrates constituting the class Aves (), characterised by feathers, toothless beaked jaws, the laying of hard-shelled eggs, a high metabolic rate, a four-chambered heart, and a strong yet lightweight skeleton."
HARACTERISTICS,Not found on Wikipedia
Body movement,Not found on Wikipedia
Paper,"Paper is a thin sheet material produced by mechanically or chemically processing cellulose fibres derived from wood, rags, grasses or other vegetable sources in water, draining the water through fine mesh leaving the fibre evenly distributed on the surface, followed by pressing and drying."
Life,"Life is a quality that distinguishes matter that has biological processes, such as signaling and self-sustaining processes, from matter that does not, and is defined by the capacity for growth, reaction to stimuli, metabolism, energy transformation, and reproduction."
Survival,"Survival, or the act of surviving, is the propensity of something to continue existing, particularly when this is done despite conditions that might kill or destroy it."
Reproduction,"Reproduction (or procreation or breeding) is the biological process by which new individual organisms – ""offspring"" – are produced from their ""parent"" or parents."
Seed,"In botany, seed is an undeveloped plant embryo and food reserve enclosed in a protective outer covering."
Bud,"In botany, a bud is an undeveloped or embryonic shoot and normally occurs in the axil of a leaf or at the tip of a stem."
Plant reproduction,"Plant reproduction is the production of new offspring in plants, which can be accomplished by sexual or asexual reproduction."
Menhdi,Not found on Wikipedia
Soil,"Soil, also commonly referred to as earth or dirt, is a mixture of organic matter, minerals, gases, liquids, and organisms that together support life."
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Cutting,"Cutting is the separation or opening of a physical object, into two or more portions, through the application of an acutely directed force."
Plant,Plants are predominantly photosynthetic eukaryotes of the kingdom Plantae.
Food,Food is any substance consumed by an organism for nutritional support.
River,"A river is a natural flowing watercourse, usually freshwater stream, flowing on the surface or inside caves towards another waterbody at a lower elevation, such as an ocean, sea, bay, lake, wetland or another river."
Sun,The Sun is the star at the center of the Solar System.
Death,Death is the irreversible cessation of all biological functions that sustain an organism.
Non-living,Not found on Wikipedia
Seed,"In botany, seed is an undeveloped plant embryo and food reserve enclosed in a protective outer covering."
Life,"Life is a quality that distinguishes matter that has biological processes, such as signaling and self-sustaining processes, from matter that does not, and is defined by the capacity for growth, reaction to stimuli, metabolism, energy transformation, and reproduction."
Growth,Growth may refer to:
Wheat,"Wheat is a grass widely cultivated for its seed, a cereal grain that is a worldwide staple food."
Heat,"In thermodynamics, heat is defined as the form of energy crossing the boundary of a thermodynamic system by virtue of a temperature difference across the boundary."
Heat,"In thermodynamics, heat is defined as the form of energy crossing the boundary of a thermodynamic system by virtue of a temperature difference across the boundary."
Pr ocess,Not found on Wikipedia
Adaptation,"In biology, adaptation has three related meanings."
Habitat,"In ecology, the term habitat summarises the array of resources, physical and biotic factors that are present in an area, such as to support the survival and reproduction of a particular species."
Biote,Not found on Wikipedia
Soil,"Soil, also commonly referred to as earth or dirt, is a mixture of organic matter, minerals, gases, liquids, and organisms that together support life."
Habitat,"In ecology, the term habitat summarises the array of resources, physical and biotic factors that are present in an area, such as to support the survival and reproduction of a particular species."
Animal,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia."
Machine,A machine is a physical system using power to apply forces and control movement to perform an action.
Light bulb,Not found on Wikipedia
Phenomenon,A phenomenon  (PL: phenomena) is an observable event.
Speed,"In everyday use and in kinematics, the speed (commonly referred to as v) of an object is the magnitude of the change of its position over time or the magnitude of the change of its position per unit of time; it is thus a scalar quantity."
Newspaper,A newspaper is a periodical publication containing written information about current events and is often typed in black ink with a white or gray background.
Life outside Earth,Not found on Wikipedia
Habitat,"In ecology, the term habitat summarises the array of resources, physical and biotic factors that are present in an area, such as to support the survival and reproduction of a particular species."
Habitat,"In ecology, the term habitat summarises the array of resources, physical and biotic factors that are present in an area, such as to support the survival and reproduction of a particular species."
Hill range,Not found on Wikipedia
Album,"An album is a collection of audio recordings issued on compact disc (CD), vinyl, audio tape, or another medium such as digital distribution."
Tree,"In botany, a tree is a perennial plant with an elongated stem, or trunk, usually supporting branches and leaves."
Tree (graph theory),"In graph theory, a tree is an undirected graph in which any two vertices are connected by exactly one path, or equivalently a connected acyclic undirected graph."
Bus,"A bus (contracted from omnibus, with variants multibus, motorbus, autobus, etc.) is a road vehicle that carries significantly more passengers than an average car or van."
Travel,Travel is the movement of people between distant geographical locations.
Soil,"Soil, also commonly referred to as earth or dirt, is a mixture of organic matter, minerals, gases, liquids, and organisms that together support life."
Mars,"Mars is the fourth planet from the Sun and the second-smallest planet in the Solar System, larger only than Mercury."
Carrying,Not found on Wikipedia
Transport,"Transport (in British English), or transportation (in American English), is the intentional movement of humans, animals, and goods from one location to another."
Transport,"Transport (in British English), or transportation (in American English), is the intentional movement of humans, animals, and goods from one location to another."
Wood,Wood is a structural tissue found in the stems and roots of trees and other woody plants.
Wood,Wood is a structural tissue found in the stems and roots of trees and other woody plants.
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, which is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent)."
Chapters 9,Not found on Wikipedia
Mode of transport,Mode of transport is a term used to distinguish between different ways of transportation or transporting people or goods.
Machine,A machine is a physical system using power to apply forces and control movement to perform an action.
Transport,"Transport (in British English), or transportation (in American English), is the intentional movement of humans, animals, and goods from one location to another."
Railroad,Not found on Wikipedia
Transport,"Transport (in British English), or transportation (in American English), is the intentional movement of humans, animals, and goods from one location to another."
Ship,"A ship is a large watercraft that travels the world's oceans and other sufficiently deep waterways, carrying cargo or passengers, or in support of specialized missions, such as defense, research and fishing."
Aviation,Aviation includes the activities surrounding mechanical flight and the aircraft industry.
Goods,"In economics, goods are items that satisfy human wants "
Monorail,"A monorail (from ""mono"", meaning ""one"", and ""rail"") is a railway in which the track consists of a single rail or a beam."
Transport,"Transport (in British English), or transportation (in American English), is the intentional movement of humans, animals, and goods from one location to another."
Classroom,A classroom or schoolroom is a learning space in which both children and adults learn.
Danda (stuffed toy),Not found on Wikipedia
Measuring instrument,A measuring instrument is a device to measure a physical quantity.
Length,Length is a measure of distance.
Gilli,Gilli may refer to:
Quebec,Quebec ( k(w)ih-BEK; French: Québec [kebɛk] (listen)) is one of the thirteen provinces and territories of Canada.
Gilli,Gilli may refer to:
Length,Length is a measure of distance.
Danda,"In Indic scripts, the daṇḍa (Sanskrit: दण्ड daṇḍa ""stick"") is a punctuation mark."
Length,Length is a measure of distance.
Cricket,"Cricket is a bat-and-ball game played between two teams of eleven players on a field at the centre of which is a 22-yard (20-metre) pitch with a wicket at each end, each comprising two bails balanced on three stumps."
Unit of length,A unit of length refers to any arbitrarily chosen and accepted reference standard for measurement of length.
String length,Not found on Wikipedia
Length,Length is a measure of distance.
Pr oblem,Not found on Wikipedia
Tailor,"A tailor is a person who makes or alters clothing, particularly in men's clothing."
Wood,Wood is a structural tissue found in the stems and roots of trees and other woody plants.
Crop,A crop is a plant that can be grown and harvested extensively for profit or subsistence.
Foot,The foot (PL: feet) is an anatomical structure found in many vertebrates.
Lucknow,"Lucknow (, Hindustani: [ˈləkʰnəuː] (listen) Lakhnaū) is the capital and the largest city of the Indian state of Uttar Pradesh and it is also the second largest urban agglomeration in Uttar Pradesh."
Kanyakumari,"Kanniyakumari (US: ; lit. 'The Virgin Princess', referring to Devi Kanya Kumari), also known as Cape Comorin, is a city in Kanniyakumari district in the state of Tamil Nadu, India."
3 S OME MEASUREMENTS,Not found on Wikipedia
Figurine,"A figurine (a diminutive form of the word figure) or statuette is a small, three-dimensional sculpture that represents a human, deity or animal, or, in practice, a pair or small group of them."
Length,Length is a measure of distance.
Length,Length is a measure of distance.
Desk,"A desk or bureau is a piece of furniture with a flat table-style work surface used in a school, office, home or the like for academic, professional or domestic activities such as reading, writing, or using equipment such as a computer."
Fixed quantity,Not found on Wikipedia
Measurement,"Measurement is the quantification of attributes of an object or event, which can be used to compare with other objects or events."
Measurement,"Measurement is the quantification of attributes of an object or event, which can be used to compare with other objects or events."
Number,"A number is a mathematical object used to count, measure, and label."
Length,Length is a measure of distance.
Unit of measurement,"A unit of measurement is a definite magnitude of a quantity, defined and adopted by convention or by law, that is used as a standard for measurement of the same kind of quantity."
Unknown quantity,Not found on Wikipedia
Measurement,"Measurement is the quantification of attributes of an object or event, which can be used to compare with other objects or events."
Length,Length is a measure of distance.
Archaeological culture,"An archaeological culture is a recurring assemblage of types of artifacts, buildings and monuments from a specific period and region that may constitute the material culture remains of a particular past human society."
Ancient Egypt,Ancient Egypt was a civilization in Northeast Africa situated in the Nile Valley.
Distance,Distance is a numerical or occasionally qualitative measurement of how far apart objects or points are.
Pace,Pace or paces may refer to:
Mutthi finger,Not found on Wikipedia
Flower,"A flower, sometimes known as a bloom or blossom, is the reproductive structure found in flowering plants (plants of the division Angiospermae)."
Unit of length,A unit of length refers to any arbitrarily chosen and accepted reference standard for measurement of length.
Body part,A body part is a part of an animal body.
Measurement,"Measurement is the quantification of attributes of an object or event, which can be used to compare with other objects or events."
Unit of measurement,"A unit of measurement is a definite magnitude of a quantity, defined and adopted by convention or by law, that is used as a standard for measurement of the same kind of quantity."
System of units,Not found on Wikipedia
Metre,The metre (or meter in American spelling; symbol: m) is the base unit of length in the International System of Units (SI).
Metre,The metre (or meter in American spelling; symbol: m) is the base unit of length in the International System of Units (SI).
Centimetre,"A centimetre (international spelling) or centimeter (American spelling) (SI symbol cm) is a unit of length in the International System of Units (SI), equal to one hundredth of a metre, centi being the SI prefix for a factor of 1/100."
Length,Length is a measure of distance.
Distance,Distance is a numerical or occasionally qualitative measurement of how far apart objects or points are.
Measurement,"Measurement is the quantification of attributes of an object or event, which can be used to compare with other objects or events."
