entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Heart,nan,Heart,nan,part of,"• Ultrasonic waves are made to reflect from various parts of the heart and form the image of the heart.
"
Echocardiography,medical imaging,Nique,medical imaging,subclass of,"This  tech- nique is called ‘echocardiography’.
"
Kidney,anatomical structure,Uterus,anatomical structure,part of,"A doctor may image the patient’s organs, such as the liver, gall bladder, uterus, kidney, etc.
"
Urinary stone,disease,Gall bladder,anatomical structure,anatomical location,"It helps the doctor to detect abnormalities, such as stones in the gall bladder and kidney or tumours in different organs.
"
Squeal,animal vocalization,Bat,taxon,produced by,"Rationalised 2023-24  SCIENCE 136 squeaks of the bat and know when a bat is flying nearby, and are able to escape capture.
"
Rat,organisms known by a particular common name,Ultrasound,sound,this taxon is source of,"Rats also play games by producing ultrasound.
"
Hearing aid,peripheral equipment,Hearing aid,peripheral equipment,subclass of,"Hearing Aid: People with hearing loss may need a hearing aid.
"
Electric battery,assembly,Electronic machine,machine,part of,"A hearing aid is an electronic, battery operated device.
"
Microphone,sensor,Sound,mechanical wave,uses,"The hearing aid receives sound through a microphone.
"
Sound,mechanical wave,Electromagnetic wave,wave,part of,"The microphone converts the sound waves to electrical signals.
"
Amplifier,electronic machine,Electrical signal,sound,uses,"These electrical signals are amplified by an amplifier.
"
Hearing aid,peripheral equipment,Hearing aid,peripheral equipment,subclass of,"The amplified electrical signals are given to a speaker of the hearing aid.
"
Human ear,anatomical structure,Sound,mechanical wave,uses,"The speaker converts the amplified electrical signal to sound and sends to the ear for clear hearing.
"
Building,architectural structure,Construction,occurrence,manifestation of,"in construction of big structures like buildings, bridges, machines and also scientific equipment.
"
Ultrasonic detector,measuring instrument,Ultrasonic wave,electromagnetic wave,measures,"Ultrasonic waves are allowed to pass through the metal block and detectors are used to detect the transmitted waves.
"
Q element,chemical element,Metal,material,subclass of,"Q Metallic components are generally used uestions 1.
"
Audible range,physical quantity,Human ear,anatomical structure,facet of,"What is the audible range of the average human ear?
"
2.2,"version, edition, or translation",3.1,"version, edition, or translation",followed by,"2.
"
Frequency,physical quantity,Infrared,electromagnetic radiation,calculated from,"What is the range of frequencies associated with (a) Infrasound?
"
11.5 Applications of Ultrasound,None,Ultrasound,medical test,facet of,"11.5 Applications of Ultrasound Ultrasounds are high frequency waves.
"
Ultrasound,sound,Sound,mechanical wave,subclass of,"Ultrasounds are able to travel along well- defined paths even in the presence of obstacles.
"
Ultrasound,medical test,Medical test,medical procedure,subclass of,"Ultrasounds are used extensively in industries and for medical purposes.
"
Electronic component,electrical element,Electronics,academic discipline,part of,"• Ultrasound is generally used to clean parts located in hard-to-reach places, for example, spiral tube, odd shaped parts, electronic components, etc.
"
Ultrasonic,electromagnetic wave,Electromagnetic wave,wave,instance of,"Objects to be cleaned are placed in a cleaning solution and ultrasonic waves are sent into the solution.
"
Dirt,nan,Dust,natural building material,subclass of,"Due to the high frequency, the particles of dust, grease and dirt get detached and drop out.
"
Laundry,technique,Laundry,technique,uses,"The objects thus get thoroughly cleaned.
"
Fig 11.14,None,Ultrasound,medical test,facet of,"Fig 11.14: Ultrasound is reflected back from the defective locations inside a metal block.
"
Wavelength,physical quantity,Sound,mechanical wave,calculated from,"Ordinary sound of longer wavelengths cannot be used for such purpose as it will bend around the corners of the defective location and enter the detector.
"
Heart,nan,Heart,nan,part of,"• Ultrasonic waves are made to reflect from various parts of the heart and form the image of the heart.
"
Echocardiography,medical imaging,Nique,medical imaging,subclass of,"This  tech- nique is called ‘echocardiography’.
"
Kidney,anatomical structure,Uterus,anatomical structure,part of,"A doctor may image the patient’s organs, such as the liver, gall bladder, uterus, kidney, etc.
"
Urinary stone,disease,Gall bladder,anatomical structure,anatomical location,"It helps the doctor to detect abnormalities, such as stones in the gall bladder and kidney or tumours in different organs.
"
Vibration,frequency,Sound,mechanical wave,subclass of,"Rationalised 2023-24  SOUND 137 What you have learnt • Sound is produced due to vibration of different objects.
"
Litudinal wave,wave,Sound,mechanical wave,subclass of,"• Sound travels as a longitudinal wave through a material medium.
"
Rarefaction,None,Sound,mechanical wave,facet of,"• Sound travels as successive compressions and rarefactions in the medium.
"
Sound,mechanical wave,Sound propagation,wave propagation,studied by,"• In sound propagation, it is the energy of the sound that travels and not the particles of the medium.
"
Maximum value,point,Minimum value,point,followed by,"• The change in density from one maximum value to the minimum value and again to the maximum value makes one complete oscillation.
"
Density,physical quantity,Pressure,physical quantity,calculated from,"• The time taken by the wave for one complete oscillation of the density or pressure of the medium is called the time period, T.
"
Frequency,physical quantity,Time,series,calculated from,"• The number of complete oscillations per unit time is called the frequency (ν), v=1 .
"
Wavelength,physical quantity,Frequency,physical quantity,calculated from,"T • The speed v, frequency ν, and wavelength λ, of sound are related by the equation, v = λν.
"
Speed of sound,physical quantity,Temperature,scalar quantity,calculated from,"• The speed of sound depends primarily on the nature and the temperature of the transmitting medium.
"
Point of incidence,angle,Angle,geometric shape,subclass of,"• The law of reflection of sound states that the directions in which the sound is incident and reflected make equal angles with the normal to the reflecting surface at the point of incidence and the three lie in the same plane.
"
S,UCUM derived unit,Time interval,physical quantity,measured physical quantity,"• For hearing a distinct sound, the time interval between the original sound and the reflected one must be at least 0.1 s.
"
Reverberation,phenomenon,Persistence of sound,phenomenon,subclass of,"• The persistence of sound in an auditorium is the result of repeated reflections of sound and is called reverberation.
"
Electrical signal,mechanical wave,Wave,surface wave,subclass of,"These waves are then converted into electrical signals that are used to generate images of the organ.
"
Film,image,Image,image,subclass of,"These images are then displayed on a monitor or printed on a film.
"
Ultrasonography,medical imaging,Surgery,academic discipline,subclass of,"This technique is called ‘ultrasonography’.
"
Birth defect,disease,Pregnancy,physiological condition,has cause,"Ultrasonography is also used for examination of the foetus during pregnancy to detect congenial defects and growth abnormalities.
"
Kidney stone,kidney,Kidney,anatomical structure,produced by,"• Ultrasound may be employed to break small ‘stones’ formed in the kidneys into fine grains.
"
Urine,nan,Urinary system,anatomical structure,produced by,"These grains later get flushed out with urine.
"
Ear,anatomical structure,Sound,mechanical wave,use,"Rationalised 2023-24  SCIENCE 138 • Loudness is a physiological response of the ear to the intensity of sound.
"
Intensity of sound,physical quantity,Sound energy,physical quantity,calculated from,"• The amount of sound energy passing each second through unit area is called the intensity of sound.
"
Hertz,UCUM derived unit,Frequency,physical quantity,measured physical quantity,"• The audible range of hearing for average human beings is in the frequency range of 20 Hz – 20 kHz.
"
Ultrasonic,frequency,Frequency,physical quantity,subclass of,"• Sound waves with frequencies below the audible range are termed “infrasonic” and those above the audible range are termed “ultrasonic”.
"
Ultrasound,medical test,Medical test,medical procedure,subclass of,"• Ultrasound has many medical and industrial applications.
"
Exercises 1,None,Physical exercise,type of sport,part of,"Exercises 1.
"
Record producer,musician,Sound,mechanical wave,uses,"What is sound and how is it produced?
"
2.2,"version, edition, or translation",3.1,"version, edition, or translation",followed by,"2.
"
Sound,mechanical wave,Atmosphere of Earth,atmosphere,part of,"Describe with the help of a diagram, how compressions and rarefactions are produced in air near a source of sound.
"
3.3,"version, edition, or translation",4.1,"version, edition, or translation",followed by,"3.
"
Litudinal wave,sound,Sound,mechanical wave,subclass of,"Why is sound wave called a longitudinal wave?
"
4.4.4,video game,Konami,video game developer,publisher,"4.
"
Sound,mechanical wave,Characteristic,quality,has quality,"Which characteristic of the sound helps you to identify your friend by his voice while sitting with others in a dark room?
"
4.5,literary work,Doctor Who,television series,part of the series,"5.
"
Flash,lightning,Thunder,natural phenomenon,has effect,"Flash and thunder are produced simultaneously.
"
Thunder,natural phenomenon,Lightning,weather,has cause,"But thunder is heard a few seconds after the flash is seen, why?
"
5.6,"version, edition, or translation",5.7,"version, edition, or translation",followed by,"6.
"
20 Hz,interval,20 kHz,interval,followed by,"A person has a hearing range from 20 Hz to 20 kHz.
"
Wavelength,physical quantity,Frequency,physical quantity,calculated from,"What are the typical wavelengths of sound waves in air corresponding to these two frequencies?
"
Speed of sound,physical constant,Speed of sound,physical quantity,measured physical quantity,"Take the speed of sound in air as 344 m s–1.
"
5.7,album,6.1,album,followed by,"7.
"
Pipe,tool,Aluminium,medication,made from material,"Two children are at opposite ends of an aluminium rod.
"
Knife,edged and bladed weapon,Tool,product,uses,"One strikes the end of the rod with a stone.
"
Atmosphere of Earth,atmosphere,Aluminium,medication,made from material,"Find the ratio of times taken by the sound wave in air and in aluminium to reach the second child.
"
8.8,album,9.9,album,followed by,"8.
"
Hertz,UCUM derived unit,Frequency,physical quantity,measured physical quantity,"The frequency of a source of sound is 100 Hz.
"
Minute,UCUM derived unit,Vibrate,physical quantity,measured physical quantity,"How many times does it vibrate in a minute?
"
Explain language,constructed language,English language,language,influenced by,"Explain.
"
10.10.10,literary work,Doctor Who,television series,part of the series,"10.
"
Echo,sound,Sound,mechanical wave,subclass of,"When a sound is reflected from a distant object, an echo is produced.
"
Sound,mechanical wave,Audio engineering,academic discipline,studied by,"Let the distance between the reflecting surface and the source of sound production remains the same.
"
Echo,sound,Sound,mechanical wave,subclass of,"Do you hear echo sound on a hotter day?
"
11.11.11,day,2008 Summer Olympics,Summer Olympic Games,part of,"11.
"
12.12.12,day,2008 Summer Olympics,Summer Olympic Games,part of,"12.
"
Tower,building,Stone,natural material,made from material,"A stone is dropped from the top of a tower 500 m high into a pond of water at the base of the tower.
"
M s–2,unit of measurement,Speed of sound,physical quantity,measured physical quantity,"Given, g = 10 m s–2 and speed of sound  = 340 m s–1.
"
Pitch,frequency,Sound,mechanical wave,subclass of,"• Sound properties such as pitch, loudness and quality are determined by the corresponding wave properties.
"
2023–24 United Kingdom census,United Kingdom census,24th United Kingdom census,United Kingdom census,followed by,"Rationalised 2023-24  SOUND 139 13.
"
Momentum,physical quantity,Speed,physical quantity,calculated from,"A sound wave travels at a speed of 339 m s–1.
"
Wavelength,physical quantity,Frequency,physical quantity,calculated from,"If its wavelength is 1.5 cm, what is the frequency of the wave?
"
14.14,literary work,Doctor Who,television series,part of the series,"14.
"
15th century,century,History of the world,aspect of history,part of,"15.
"
Loudness of sound,None,Sound,mechanical wave,facet of,"What is loudness of sound?
"
16th century,century,History of the world,aspect of history,part of,"16.
"
Ultrasound cleaning,cleaning,Ultrasound,medical test,uses,"How is ultrasound used for cleaning?
"
1717 in literature,events in a specific year or time period,History,academic discipline,facet of,"17.
"
Birth defect,disease,Metal alloy,alloy,has cause,"Explain how defects in a metal block can be detected using ultrasound.
"
Organism,anatomical entity,Food,disposable product,uses,"Rationalised 2023-24  SCIENCE 140 We know that all living organisms need food.
"
Vitamin,organic compound,Mineral,chemical substance,subclass of,"Food supplies proteins, carbohydrates, fats, vitamins and minerals, all of which we require for body development, growth and health.
"
Plant,taxon,Food,disposable product,use,"Both plants and animals are major sources of food for us.
"
Animal husbandry,science,Agriculture,academic discipline,part of,"We obtain most of this food from agriculture and animal husbandry.
"
Animal husbandry,science,Agriculture,academic discipline,part of,"We read in newspapers that efforts are always being made to improve production from agriculture and animal husbandry.
"
China,sovereign state,Beijing,city,contains administrative territorial entity,"Why we cannot make do with the current levels of production?
"
India,sovereign state,Country,nan,instance of,"India is a very populous country.
"
Population growth,increase,Population,statistic,facet of,"Our population is more than one billion people, and it is still growing.
"
Grain,food ingredient,Food,disposable product,subclass of,"As food for this growing population, we will soon need more than a quarter of a billion tonnes of grain every year.
"
Agriculture,academic discipline,Agricultural land,field,uses,"This can be done by farming on more land.
"
China,sovereign state,Beijing,city,contains administrative territorial entity,"But India is already intensively cultivated.
"
China,sovereign state,Beijing,city,contains administrative territorial entity,"As a result, we do not have any major scope for increasing the area of land under cultivation.
"
Agriculture,academic discipline,Agriculture,academic discipline,studies,"Therefore, it is necessary to increase our production efficiency for both crops and livestock.
"
Food demand,None,Food production,economic activity,facet of,"Efforts to meet the food demand by increasing food production have led to some successes so far.
"
Green Revolution,revolution,Foodgrain,grain,facet of,"We have had the green revolution, which contributed to increased food-grain production.
"
White revolution,None,Milk,food,facet of,"We have also had the white revolution, which has led to better and more efficient use as well as availability of milk.
"
Carbon dioxide,None,Natural gas,mixture,has parts of the class,"However, these revolutions mean that our natural resources are getting used more intensively.
"
World Heritage Site,cultural heritage,UNESCO,international organization,maintained by,"As a result, there are more chances of causing damage to our natural resources to the point of destroying their balance completely.
"
Destruction of the environment,environmental damage,Environmental degradation,degradation,has effect,"Therefore, it is important that we should increase food production without degrading our environment and disturbing the balances maintaining it.
"
Animal husbandry,science,Agriculture,academic discipline,part of,"Hence, there is a need for sustainable practices in agriculture and animal husbandry.
"
Malnutrition,academic discipline,Hunger,nan,has effect,"Also, simply increasing grain production for storage in warehouses cannot solve the problem of malnutrition and hunger.
"
Food,disposable product,Money,legal tender,made from material,"People should have money to purchase food.
"
Access to food,None,Food security,security,facet of,"Food security depends on both availability of food and access to it.
"
Agriculture,academic discipline,Animal husbandry,science,instance of,"The majority of our population depends on agriculture for their livelihood.
"
Hunger,nan,Agriculture,academic discipline,facet of,"Increasing the incomes of people working in agriculture is therefore necessary to combat the problem of hunger.
"
Scientific management,agriculture,Agriculture,academic discipline,subclass of,"Scientific management practices should be undertaken to obtain high yields from farms.
"
Intercropping,agriculture,Integrated farming,agriculture,subclass of,"For sustained livelihood, one should undertake mixed farming, intercropping, and integrated farming practices, for example, combine agriculture with livestock/poultry/fisheries/ bee-keeping.
"
Rice,food ingredient,Cereal,grain,subclass of,"12.1 Improvement in Crop Yields Cereals such as wheat, rice, maize, millets and sorghum provide us carbohydrate for energy requirement.
"
Vegetable,food,Vitamin,organic compound,subclass of,"Vegetables, spices and fruits provide a range of vitamins and minerals in addition to small amounts of proteins, carbohydrates and fats.
"
Berseem,taxon,Fodder,animal feed,subclass of,"In addition to these food crops, fodder crops like berseem, oats or sudan grass are raised as food for the livestock.
"
Kharif,season,Rabi season,season,followed by,"12 IIIIIMPROVEMENT MPROVEMENT MPROVEMENT MPROVEMENT MPROVEMENT     IN IN IN IN IN F F F F FOOD OOD OOD OOD OOD R R R R RESOURCES ESOURCES ESOURCES ESOURCES ESOURCES C hapter Rationalised 2023-24  IMPROVEMENT IN FOOD RESOURCES 141 the kharif season from the month of June to October, and some of the crops are grown in the winter season, called the rabi season from November to April.
"
Gram,taxon,Kharif,vegetable,subclass of,"Paddy, soyabean, pigeon pea, maize, cotton, green gram and black gram are kharif crops, whereas wheat, gram, peas, mustard, linseed are rabi crops.
"
India,sovereign state,Delhi,city with millions of inhabitants,contains administrative territorial entity,"In India there has been a four times increase in the production of food grains from 1952 to 2010 with only 25% increase in the cultivable land area.
"
Wolfgang Amadeus Mozart,human,The Magic Flute,dramatico-musical work,notable work,"How has this increase in production been achieved?
"
Farming process,process,Agriculture,academic discipline,part of,"If we think of the practices involved in farming, we can see that we can divide it into three stages.
"
Plantation,concept,Seed,food,uses,"The first is the choice of seeds for planting.
"
Plant,taxon,Crop,Cultigen,subclass of,"The second is the nurturing of the crop plants.
"
Harvest,agricultural activity,Agriculture,academic discipline,part of,"The third is the protection of the growing and harvested crops from loss.
"
Crop variety,group,Crop,Cultigen,part of,"Thus, the major groups of activities for improving crop yields can be classified as: • Crop variety improvement • Crop production improvement • Crop protection management.
"
12.1.1 CROP VARIETY IMPROVEMENT,Crop VARIETY Improvement,Crop VARIETY Improvement,None,instance of,"12.1.1 CROP VARIETY IMPROVEMENT This approach depends on finding a crop variety that can give a good yield.
"
Hybridisation,engineering process,Cultivar,taxon,has effect,"One way of incorporating desirable characters into crop varieties is by hybridisation.
"
Gene,biological sequence,Cultigen,group or class of chemical substances,encodes,"Another way of improving the crop is by introducing a gene that would provide the desired characteristic.
"
Genetically modified food,food,Crop,Cultigen,subclass of,"This results in genetically modified crops.
"
Peanut,taxon,Fruit,plant organ,has fruit type,"What do we get from cereals, pulses, fruits and vegetables?
"
Life cycle,biological process,Crop,Cultigen,facet of,"Different crops require different climatic conditions, temperature and photoperiods for their growth and completion of their life cycle.
"
Photoperiod,None,Sunlight,light,facet of,"Photoperiods are related to the duration of sunlight.
"
Flowering,biological process,Plant,taxon,part of,"Growth of plants and flowering are dependent on sunlight.
"
Photosynthesis,biological process,Food,disposable product,has effect,"As we all know, plants manufacture their food in sunlight by the process of photosynthesis.
"
Germination,biological process,Crop,Cultigen,part of,"There are some crops, which are grown in rainy season, called Q Rationalised 2023-24  SCIENCE 142 be of the same variety and germinate under the same conditions.
"
Cultivation,engineering process,Crop yield,increase,has effect,"Cultivation practices and crop yield are related to weather, soil quality and availability of water.
"
Drought,condition,Weather,state,subclass of,"Since weather conditions such as drought and flood situations are unpredictable, varieties that can be grown in diverse climatic conditions are useful.
"
Salinity,physical property,Soil,granular material,facet of,"Similarly, varieties tolerant to high soil salinity have been developed.
"
Crop improvement,None,Crop,Cultigen,facet of,"• Improved quality: Quality considerations of crop products vary from crop to crop.
"
Wheat,food,Protein,group or class of chemical substances,subclass of,"Baking quality is important in wheat, protein quality in pulses, oil quality in oilseeds and preserving quality in fruits and vegetables.
"
Biotic and abiotic resistance,biotic resistance,Abiotic resistance,None,facet of,"• Biotic and abiotic resistance: Crops production can go down due to biotic (diseases, insects and nematodes) and abiotic (drought, salinity, water logging, heat, cold and frost) stresses under different situations.
"
Harvest,agricultural activity,Sowing,engineering process,follows,"• Change in maturity duration: The shorter the duration of the crop from sowing to harvesting, the more economical is the variety.
"
Farmer,agricultural worker,Agriculture,academic discipline,field of this occupation,"Such short durations allow farmers to grow multiple rounds of crops in a year.
"
Cost,concept,Crop,Cultigen,facet of,"Short duration also reduces the cost of crop production.
"
Extensive adaptation,adaptation,Adaptation,process,subclass of,"• Wider adaptability: Developing varieties for wider adaptability will help in stabilising the crop production under different environmental conditions.
"
Fodder,animal feed,Agronomy,academic discipline,part of,"• Desirable agronomic characteristics: Tallness and profuse branching are desirable characters for fodder crops.
"
Cereal,grain,Cereal,grain,subclass of,"Dwarfness is desired in cereals, so that less nutrients are consumed by these crops.
"
Agricultural variety,cultivar,Agronomy,academic discipline,part of,"Thus developing varieties of desired agronomic characters help give higher productivity.
"
1,natural number,Natural number,integer sequence,instance of,"uestions 1.
"
Abiotic,organism,Biome,landscape,subclass of,"How do biotic and abiotic factors affect crop production?
"
2.2,"version, edition, or translation",3.1,"version, edition, or translation",followed by,"2.
"
Agronomy,academic discipline,Crop,Cultigen,studies,"What are the desirable agronomic characteristics for crop improvements?
"
Agriculture,academic discipline,Agriculture,academic discipline,subclass of,"12.1.2 CROP PRODUCTION MANAGEMENT In India, as in many other agriculture-based countries, farming ranges from small to very large farms.
"
Information,abstract object,Technology,academic discipline,has effect,"Different farmers thus have more or less land, money and access to information and technologies.
"
Agricultural technology,academic discipline,Agriculture,academic discipline,use,"In short, it is the money or financial conditions that allow farmers to take up different farming practices and agricultural technologies.
"
Cropping,engineering process,Agriculture,academic discipline,part of,"Thus, the farmer’s purchasing capacity for inputs decides cropping system and production practices.
"
Low-cost production,method,High-cost production,method,opposite of,"They include ‘no cost’ production, ‘low cost’ production and ‘high cost’ production practices.
"
Food,disposable product,Nutrient,chemical substance,subclass of,"12.1.2 (i)  NUTRIENT MANAGEMENT Just as we need food for development, growth and well-being, plants also require nutrients for growth.
"
Water,None,Nutrient,chemical substance,subclass of,"Nutrients are supplied to plants by air, water and soil.
"
Nutrient,chemical substance,Nutrient,chemical substance,subclass of,"There are several nutrients which are essential for plants.
"
Carbon,chemical element,Oxygen,chemical element,has parts of the class,"Air supplies carbon and oxygen, hydrogen comes from water, and soil supplies the other thirteen nutrients to plants.
"
Macro-nutrient,nutrient,Nutrient,chemical substance,subclass of,"Amongst these, some are required in large quantities and are therefore called macro-nutrients.
"
Micro-nutrient,nutrient,Nutrient,chemical substance,subclass of,"The other nutrients are used by plants in small quantities and are therefore called micro-nutrients (Table 12.1).
"
Fertilizer,chemical substance,Food,disposable product,part of,"Q Rationalised 2023-24  IMPROVEMENT IN FOOD RESOURCES 143 our environment from excessive use of fertilizers.
"
Recycling,economic activity,Waste,material,uses,"Using biological waste material is also a way of recycling farm waste.
"
Dung,feces,Feces,organic matter,subclass of,"Based on the kind of biological material used, manure can be classified as: (i) Compost and vermi-compost: The process in which farm waste material like livestock excreta (cow dung, etc.), vegetable waste, animal refuse, domestic waste, sewage waste, straw, eradicated weeds etc.
"
Compost,organic matter,Compost,organic matter,subclass of,"is decomposed in pits is known as composting.
"
Organic matter,material,Nutrient,chemical substance,subclass of,"The compost is rich in organic matter and nutrients.
"
Compost,organic matter,Decomposition,biological process,fabrication method,"Compost is also prepared by using earthworms to hasten the process of decomposition of plant and animal refuse.
"
Vermi-compost,compost,Compost,organic matter,subclass of,"This is called vermi-compost.
"
Plough,agricultural machinery,Mulch,material,use,"(ii) Green manure: Prior to the sowing of the crop seeds, some plants like sun hemp or guar are grown and then mulched by ploughing them into the soil.
"
Manure,organic matter,Soil,granular material,subclass of,"These green plants thus turn into green manure which helps in enriching the soil in nitrogen and phosphorus.
"
Fertilizer,chemical substance,Plant nutrients,nutrient,subclass of,"FERTILIZERS Fertilizers are commercially produced plant nutrients.
"
Phosphorus,chemical element,Fertilizer,chemical substance,part of,"Fertilizers supply nitrogen, phosphorus and potassium.
"
Leaf,plant organ,Branch,plant structure,part of,"They are used to ensure good vegetative growth (leaves, branches and flowers), giving rise to healthy plants.
"
Fertilizer,chemical substance,Agriculture,academic discipline,use,"Fertilizers are a factor in the higher yields of high-cost farming.
"
Dosage,physical quantity,Time,series,calculated from,"Fertilizers should be applied carefully in terms of proper dose, time, and observing pre- and post-application precautions for their complete utilisation.
"
Irrigation,engineering process,Fertilizer,chemical substance,has effect,"For example, sometimes fertilizers get washed away due to excessive irrigation and are not fully absorbed by the plants.
"
Water pollution,environmental pollution,Fertilizer,chemical substance,has cause,"This excess fertilizer then leads to water pollution.
"
Fertilizer,chemical substance,Soil fertility,None,use,"Also, as we have seen in the previous chapter, continuous use of fertilizers in an area can destroy soil fertility because the organic matter in the soil is not replenished and micro-organisms in the soil are harmed by the fertilizers used.
"
Plant growth,biological process,Plant reproduction,biological process,part of,"Short-term benefits of using fertilizers and long-term benefits of using Deficiency of these nutrients affects physiological processes in plants including reproduction, growth and susceptibility to diseases.
"
Manure,organic matter,Fertilizer,chemical substance,use,"To increase the yield, the soil can be enriched by supplying these nutrients in the form of manure and fertilizers.
"
1,natural number,Natural number,integer sequence,instance of,"uestions 1.
"
Macro-nutrient,nutrient,Nutrient,chemical substance,subclass of,"What are macro-nutrients and why are they called macro- nutrients?
"
2.2,"version, edition, or translation",3.1,"version, edition, or translation",followed by,"2.
"
Plant,taxon,Nutrient,chemical substance,uses,"How do plants get nutrients?
"
Manure,organic matter,Organic matter,material,subclass of,"MANURE Manure contains large quantities of organic matter and also supplies small quantities of nutrients to the soil.
"
Manure,organic matter,Waste,material,subclass of,"Manure is prepared by the decomposition of animal excreta and plant waste.
"
Manure,organic matter,Organic matter,material,subclass of,"Manure helps in enriching soil with nutrients and organic matter and increasing soil fertility.
"
Manure,organic matter,Organic matter,material,subclass of,"The bulk of organic matter in manure helps in improving the soil structure.
"
Soil,granular material,Soil,granular material,different from,"This involves increasing the water holding capacity in sandy soils.
"
Clay,sculpture material,Soil,granular material,subclass of,"In clayey soils, the large quantities of organic matter help in drainage and in avoiding water logging.
"
Micronutrient,nutrient,Nutrient,chemical substance,subclass of,"In using manure we use biological waste material, which is advantageous in protecting Table 12.1: Nutrients supplied by air, water and soil Air carbon, oxygen Water hydrogen, oxygen Soil (i) Macronutrients: nitrogen, phosphorus, potassium, calcium, magnesium, sulphur (ii) Micronutrients: iron, manganese, boron, zinc, copper, molybdenum, chlorine Q Source Nutrients Rationalised 2023-24  SCIENCE 144 India has a wide variety of water resources and a highly varied climate.
"
Irrigation,engineering process,Agriculture,academic discipline,use,"Under such conditions, several different kinds of irrigation systems are adopted to supply water to agricultural lands depending on the kinds of water resources available.
"
Water tank,storage tank,Well,architectural structure,part of,"These include wells, canals, rivers and tanks.
"
Tube well,well,Well,architectural structure,subclass of,"• Wells:  There are two types of wells, namely dug wells and tube wells.
"
Drilled well,well,Well,architectural structure,subclass of,"In a dug well, water is collected from water bearing strata.
"
Tube well,tap water,Tap water,nan,subclass of,"Tube wells can tap water from the deeper strata.
"
Water pump,machine,Irrigation,engineering process,use,"From these wells, water is lifted by pumps for irrigation.
"
Irrigation,engineering process,Canal,watercourse,use,"• Canals: This is usually an elaborate and extensive irrigation system.
"
Reservoir,land waters,River,natural watercourse,part of,"In this system canals receive water from one or more reservoirs or from rivers.
"
Branch canal,canal,Canal,watercourse,subclass of,"The main canal is divided into branch canals having further distributaries to irrigate fields.
"
Irrigation,engineering process,Water,None,uses,"Water is directly drawn from the rivers for supplementing irrigation in areas close to rivers.
"
Tank,water reservoir,Water reservoir,reservoir,subclass of,"• Tanks: These are small storage reservoirs, which intercept and store the run-off of smaller catchment areas.
"
Rainwater harvesting, harvesting,Water management,control,part of,"Fresh initiatives for increasing the water available for agriculture include rainwater harvesting and watershed management.
"
Check dam,dam,Dam,infrastructure,subclass of,"This involves building small check-dams which lead to an increase in ground water levels.
"
Soil erosion,erosion,Rain,precipitation,has effect,"The check-dams stop the rainwater from flowing away and also reduce soil erosion.
"
CROPPING PATTERNS,engineering process,Agriculture,academic discipline,part of,"12.1.2 (iii)  CROPPING PATTERNS Different ways of growing crops can be used to give maximum benefit.
"
Gram,organisms known by a particular common name,Wheat,food,subclass of,"Mixed cropping is growing two or more crops simultaneously on the same piece of land, for example, wheat + gram, or wheat + mustard, or groundnut + sunflower.
"
Insurance,industry,Risk,potential,subclass of,"This reduces risk and gives some insurance against failure of one of the crops.
"
Manure,organic matter,Soil fertility,None,use,"manure for maintaining soil fertility have to be considered while aiming for optimum yields in crop production.
"
Manure,organic matter,Fertilizer,chemical substance,use,"Compare the use of manure and fertilizers in maintaining soil fertility.
"
Organic farming,farming,Agriculture,academic discipline,subclass of,"Organic farming is a farming system with minimal or no use of chemicals as fertilizers, herbicides, pesticides, etc., and with a maximum input of organic manures, recycled farm-wastes (straw and livestock excreta), use of bio-agents such as culture of blue green algae in preparation of biofertilizers, neem leaves or turmeric specifically in grain storage as bio-pesticides, with healthy cropping systems [mixed cropping, inter-cropping and crop rotation as discussed below in 12.1.2.(iii)].
"
Pest control,activity,Insect control,activity,subclass of,"These cropping systems are beneficial in insect, pest and wheat control besides providing nutrients.
"
Rainfed agriculture,agriculture,Agriculture,academic discipline,subclass of,"12.1.2 (ii)  IRRIGATION Most agriculture in India is rain-fed, that is, the success of crops in most areas is dependent on timely monsoons and sufficient rainfall spread through most of the growing season.
"
Crop failure,None,Monsoon,solar wind,has cause,"Hence, poor monsoons cause crop failure.
"
Irrigation,engineering process,Agriculture,academic discipline,use,"Therefore, many measures are used to bring more and more agricultural land under irrigation.
"
Drought,condition,Rain,precipitation,has cause,"Q More to  know Droughts occur because of scarcity or irregular distribution of rains.
"
Irrigation,engineering process,Agriculture,academic discipline,use,"Drought poses a threat to rain-fed farming areas, where farmers do not use irrigation for crop production and depend only on rain.
"
Light soil,soil type,Soil,granular material,subclass of,"Light soils have less water retention capacity.
"
Drought,condition,Soil condition,state,has effect,"In areas with light soils, crops get adversely affected by drought conditions.
"
Drought,condition,Crop,Cultigen,has effect,"Scientists have developed some crop varieties which can tolerate drought conditions.
"
Inter-cropping,concept,Crop,Cultigen,subclass of,"Rationalised 2023-24  IMPROVEMENT IN FOOD RESOURCES 145 Inter-cropping is growing two or more crops simultaneously on the same field in a definite pattern (Fig.12.2).
"
Lobia,taxon,Cowpea,taxon,parent taxon,"A few rows of one crop alternate with a few rows of a second crop, for example, soyabean + maize, or finger millet (bajra) + cowpea (lobia).
"
Nutrient,chemical substance,Crop,Cultigen,part of,"The crops are selected such that their nutrient requirements are different.
"
